2016-02-15	2016	201602	20160215	0	2016-02-15
2016-02-24	2016	201602	20160224	0	2016-02-24
2016-03-06	2016	201603	20160306	2	2016-03-06
2016-03-07	2016	201603	20160307	0	2016-03-07
2016-03-08	2016	201603	20160308	0	2016-03-08
2016-03-09	2016	201603	20160309	0	2016-03-09
2016-03-10	2016	201603	20160310	0	2016-03-10
2016-03-11	2016	201603	20160311	0	2016-03-11
2016-03-12	2016	201603	20160312	2	2016-03-12
2016-03-13	2016	201603	20160313	2	2016-03-13
2016-03-14	2016	201603	20160314	0	2016-03-14
2016-03-15	2016	201603	20160315	0	2016-03-15
2016-03-16	2016	201603	20160316	0	2016-03-16
2016-03-17	2016	201603	20160317	0	2016-03-17
2016-03-18	2016	201603	20160318	0	2016-03-18
2016-03-19	2016	201603	20160319	2	2016-03-19
2016-03-20	2016	201603	20160320	2	2016-03-20
2016-03-21	2016	201603	20160321	0	2016-03-21
2016-03-22	2016	201603	20160322	0	2016-03-22
2016-03-23	2016	201603	20160323	0	2016-03-23
2016-03-24	2016	201603	20160324	0	2016-03-24
2016-03-25	2016	201603	20160325	0	2016-03-25
2016-03-26	2016	201603	20160326	2	2016-03-26
2016-03-27	2016	201603	20160327	2	2016-03-27
2016-03-28	2016	201603	20160328	0	2016-03-28
2016-03-29	2016	201603	20160329	0	2016-03-29
2016-03-30	2016	201603	20160330	0	2016-03-30
2016-03-31	2016	201603	20160331	0	2016-03-31
2016-04-01	2016	201604	20160401	0	2016-04-01
2016-04-02	2016	201604	20160402	2	2016-04-02
2016-04-03	2016	201604	20160403	2	2016-04-03
2016-04-04	2016	201604	20160404	0	2016-04-04
2016-04-05	2016	201604	20160405	0	2016-04-05
2016-04-06	2016	201604	20160406	0	2016-04-06
2016-04-07	2016	201604	20160407	0	2016-04-07
2016-04-08	2016	201604	20160408	0	2016-04-08
2016-04-09	2016	201604	20160409	2	2016-04-09
2016-04-10	2016	201604	20160410	2	2016-04-10
2016-04-11	2016	201604	20160411	0	2016-04-11
2016-04-12	2016	201604	20160412	0	2016-04-12
2016-04-13	2016	201604	20160413	0	2016-04-13
2016-04-14	2016	201604	20160414	0	2016-04-14
2016-04-15	2016	201604	20160415	0	2016-04-15
2016-04-16	2016	201604	20160416	2	2016-04-16
2016-04-17	2016	201604	20160417	2	2016-04-17
2016-04-18	2016	201604	20160418	0	2016-04-18
2016-04-19	2016	201604	20160419	0	2016-04-19
2016-04-20	2016	201604	20160420	0	2016-04-20
2016-04-21	2016	201604	20160421	0	2016-04-21
2016-04-22	2016	201604	20160422	0	2016-04-22
2016-04-23	2016	201604	20160423	2	2016-04-23
2016-04-24	2016	201604	20160424	2	2016-04-24
2016-04-25	2016	201604	20160425	0	2016-04-25
2016-04-26	2016	201604	20160426	0	2016-04-26
2016-04-27	2016	201604	20160427	0	2016-04-27
2016-04-28	2016	201604	20160428	0	2016-04-28
2016-04-29	2016	201604	20160429	0	2016-04-29
2016-04-30	2016	201604	20160430	2	2016-04-30
2016-05-01	2016	201605	20160501	2	2016-05-01
2016-05-02	2016	201605	20160502	0	2016-05-02
2016-05-03	2016	201605	20160503	0	2016-05-03
2016-05-04	2016	201605	20160504	0	2016-05-04
2016-05-05	2016	201605	20160505	0	2016-05-05
2016-05-06	2016	201605	20160506	0	2016-05-06
2016-05-07	2016	201605	20160507	2	2016-05-07
2016-05-08	2016	201605	20160508	2	2016-05-08
2016-05-09	2016	201605	20160509	0	2016-05-09
2016-05-10	2016	201605	20160510	0	2016-05-10
2016-05-11	2016	201605	20160511	0	2016-05-11
2016-05-12	2016	201605	20160512	0	2016-05-12
2016-05-13	2016	201605	20160513	0	2016-05-13
2016-05-14	2016	201605	20160514	2	2016-05-14
2016-05-15	2016	201605	20160515	2	2016-05-15
2016-05-16	2016	201605	20160516	0	2016-05-16
2016-05-17	2016	201605	20160517	0	2016-05-17
2016-05-18	2016	201605	20160518	0	2016-05-18
2016-05-19	2016	201605	20160519	0	2016-05-19
2016-05-20	2016	201605	20160520	0	2016-05-20
2016-05-21	2016	201605	20160521	2	2016-05-21
2016-05-22	2016	201605	20160522	2	2016-05-22
2016-05-23	2016	201605	20160523	0	2016-05-23
2016-05-24	2016	201605	20160524	0	2016-05-24
2016-05-25	2016	201605	20160525	0	2016-05-25
2016-05-26	2016	201605	20160526	0	2016-05-26
2016-05-27	2016	201605	20160527	0	2016-05-27
2016-05-28	2016	201605	20160528	2	2016-05-28
2016-05-29	2016	201605	20160529	2	2016-05-29
2016-05-30	2016	201605	20160530	0	2016-05-30
2016-05-31	2016	201605	20160531	0	2016-05-31
2016-06-01	2016	201606	20160601	0	2016-06-01
2016-06-02	2016	201606	20160602	0	2016-06-02
2016-06-03	2016	201606	20160603	0	2016-06-03
2016-06-04	2016	201606	20160604	2	2016-06-04
2016-06-05	2016	201606	20160605	2	2016-06-05
2016-06-06	2016	201606	20160606	0	2016-06-06
2016-06-07	2016	201606	20160607	0	2016-06-07
2016-06-08	2016	201606	20160608	0	2016-06-08
2016-06-09	2016	201606	20160609	0	2016-06-09
2016-06-10	2016	201606	20160610	0	2016-06-10
2016-06-11	2016	201606	20160611	2	2016-06-11
2016-06-12	2016	201606	20160612	2	2016-06-12
2016-06-13	2016	201606	20160613	0	2016-06-13
2016-06-14	2016	201606	20160614	0	2016-06-14
2016-06-15	2016	201606	20160615	0	2016-06-15
2016-06-16	2016	201606	20160616	0	2016-06-16
2016-06-17	2016	201606	20160617	0	2016-06-17
2016-06-18	2016	201606	20160618	2	2016-06-18
